USAF,CLASS,SOLAR,STATION,ST,NSRDB_LAT (dd),NSRDB_LON(dd),NSRDB_ELEV (m),TIME ZONE,ISH_LAT (dd),ISH_LON(dd),ISH_ELEV (m),20070316
690190,2,0,ABILENE DYESS AFB,TX,32.433,-99.85,545,-6,32.433,-99.85,545,
722410,1,0,PORT ARTHUR JEFFERSON COUNTY,TX,29.95,-94.017,5,-6,29.95,-94.017,5,
722416,3,0,NEW BRAUNFELS,TX,29.717,-98.05,197,-6,29.717,-98.05,197,
722420,2,0,GALVESTON/SCHOLES,TX,29.3,-94.8,16,-6,29.3,-94.8,16,
722427,3,0,HOUSTON/CLOVER FLD,TX,29.517,-95.233,13,-6,29.517,-95.233,13,
722429,2,0,HOUSTON/D.W. HOOKS,TX,30.067,-95.55,46,-6,30.067,-95.55,46,
722430,1,0,HOUSTON BUSH INTERCONTINENTAL,TX,30,-95.367,29,-6,30,-95.367,29,
722435,2,0,HOUSTON WILLIAM P HOBBY AP,TX,29.65,-95.283,13,-6,29.65,-95.283,13,
722436,2,1,HOUSTON ELLINGTON AFB [CLEAR LAKE - UT],TX,29.57,-95.09,6,-6,29.617,-95.167,12,
722444,3,0,MONTGOMERY CO,TX,30.35,-95.417,77,-6,30.35,-95.417,77,
722445,2,0,COLLEGE STATION EASTERWOOD FL,TX,30.583,-96.367,96,-6,30.583,-96.367,96,
722446,1,0,LUFKIN ANGELINA CO,TX,31.233,-94.75,86,-6,31.233,-94.75,86,
722447,3,0,LONGVIEW GREGG COUNTY AP,TX,32.383,-94.717,109,-6,32.383,-94.717,109,
722448,2,0,TYLER/POUNDS FLD,TX,32.35,-95.4,166,-6,32.35,-95.4,166,
722469,3,0,CORSICANA,TX,32.033,-96.4,136,-6,32.033,-96.4,136,
722470,2,1,LONGVIEW GREGG COUNTY AP [OVERTON - UT],TX,32.29,-94.98,146,-6,32.383,-94.717,124,
722479,3,0,ARLINGTON,TX,32.667,-97.1,192,-6,32.667,-97.1,192,
722489,3,0,TERRELL,TX,32.717,-96.267,144,-6,32.717,-96.267,144,
722499,3,0,NACOGDOCHES (AWOS),TX,31.583,-94.717,108,-6,31.583,-94.717,108,
722500,1,0,BROWNSVILLE S PADRE ISL INTL,TX,25.9,-97.433,6,-6,25.9,-97.433,6,
722505,2,0,HARLINGEN RIO GRANDE VALLEY I,TX,26.233,-97.65,10,-6,26.233,-97.65,10,
722506,2,1,MCALLEN MILLER INTL AP [EDINBURG - UT],TX,26.31,-98.17,30,-6,26.183,-98.233,30,
722508,3,0,PORT ISABEL/CAMERON,TX,26.15,-97.213,5,-6,26.15,-97.213,5,
722510,1,1,CORPUS CHRISTI INTL ARPT [UT],TX,27.88,-97.63,6,-6,27.767,-97.517,13,
722515,2,0,CORPUS CHRISTI NAS,TX,27.683,-97.283,6,-6,27.683,-97.283,6,
722516,2,0,KINGSVILLE,TX,27.5,-97.817,17,-6,27.5,-97.817,17,
722517,2,0,ALICE INTL AP,TX,27.733,-98.033,53,-6,27.733,-98.033,53,
722520,2,1,LAREDO INTL AP [UT],TX,27.57,-99.49,142,-6,27.533,-99.467,151,
722523,3,0,SAN ANTONIO/STINSON,TX,29.333,-98.467,176,-6,29.333,-98.467,176,
722524,2,0,ROCKPORT/ARANSAS CO,TX,28.083,-97.05,8,-6,28.083,-97.05,8,
722526,2,0,COTULLA FAA AP,TX,28.45,-99.217,141,-6,28.45,-99.217,141,
722527,3,0,ANGLETON/LAKE JACKS,TX,29.117,-95.467,8,-6,29.117,-95.467,8,
722530,1,0,SAN ANTONIO INTL AP,TX,29.533,-98.467,247,-6,29.533,-98.467,247,
722533,3,0,HONDO MUNICIPAL AP,TX,29.367,-99.167,280,-6,29.367,-99.167,280,
722535,2,0,SAN ANTONIO KELLY FIELD AFB,TX,29.383,-98.583,208,-6,29.383,-98.583,208,
722536,2,0,RANDOLPH AFB,TX,29.533,-98.283,232,-6,29.533,-98.283,232,
722537,3,0,KERRVILLE MUNICIPAL,TX,29.983,-99.083,493,-6,29.983,-99.083,493,
722539,3,0,SAN MARCOS MUNI,TX,29.883,-97.867,182,-6,29.883,-97.867,182,
722540,1,1,AUSTIN MUELLER MUNICIPAL AP [UT],TX,30.29,-97.74,213,-6,30.3,-97.7,189,
722544,3,0,CAMP MABRY,TX,30.317,-97.767,198,-6,30.317,-97.767,198,
722545,3,0,BERGSTROM AFB/AUSTI,TX,30.2,-97.683,165,-6,30.2,-97.683,165,
722546,3,0,SAN MARCOS GARY AFB,TX,29.883,-97.867,178,-6,29.883,-97.867,178,
722547,3,0,GEORGETOWN (AWOS),TX,30.683,-97.683,240,-6,30.683,-97.683,240,
722550,1,0,VICTORIA REGIONAL AP,TX,28.867,-96.933,35,-6,28.867,-96.933,35,
722552,3,0,GAINESVILLE,TX,33.65,-97.2,256,-6,33.65,-97.2,256,
722553,3,0,BRENHAM,TX,30.217,-96.367,94,-6,30.217,-96.367,94,
722554,3,0,LAGRANGE,TX,29.9,-96.95,99,-6,29.9,-96.95,99,
722555,2,0,PALACIOS MUNICIPAL AP,TX,28.717,-96.25,5,-6,28.717,-96.25,5,
722560,1,0,WACO REGIONAL AP,TX,31.617,-97.233,152,-6,31.617,-97.233,152,
722563,3,0,MC GREGOR (AWOS),TX,31.483,-97.317,180,-6,31.483,-97.317,180,
722570,2,0,FORT HOOD,TX,31.133,-97.717,280,-6,31.133,-97.717,280,
722575,2,0,KILLEEN MUNI (AWOS),TX,31.083,-97.683,258,-6,31.083,-97.683,258,
722576,2,0,ROBERT GRAY AAF,TX,31.067,-97.833,312,-6,31.067,-97.833,312,
722577,2,0,DRAUGHON MILLER CEN,TX,31.15,-97.4,213,-6,31.15,-97.4,213,
722583,2,0,DALLAS LOVE FIELD,TX,32.85,-96.85,134,-6,32.85,-96.85,134,
722585,3,0,DALLAS HENSLEY FIELD NAS,TX,32.733,-96.967,150,-6,32.733,-96.967,150,
722587,3,0,COX FLD,TX,33.633,-95.45,171,-6,33.633,-95.45,171,
722588,2,0,GREENVILLE/MAJORS,TX,33.067,-96.067,163,-6,33.067,-96.067,163,
722589,3,0,DENTON (ASOS),TX,33.2,-97.183,197,-6,33.2,-97.183,197,
722590,1,0,DALLAS-FORT WORTH INTL AP,TX,32.9,-97.017,171,-6,32.9,-97.017,171,
722593,3,0,DFW NEXRAD,TX,32.567,-97.3,233,-6,32.567,-97.3,233,
722594,2,0,FORT WORTH ALLIANCE,TX,32.983,-97.317,226,-6,32.983,-97.317,226,
722595,2,0,FORT WORTH NAS,TX,32.767,-97.45,185,-6,32.767,-97.45,185,
722596,2,0,FORT WORTH MEACHAM,TX,32.817,-97.367,209,-6,32.817,-97.367,209,
722597,2,0,MINERAL WELLS MUNICIPAL AP,TX,32.783,-98.067,284,-6,32.783,-98.067,284,
722598,2,0,DALLAS/ADDISON ARPT,TX,32.967,-96.833,196,-6,32.967,-96.833,196,
722599,2,0,DALLAS/REDBIRD ARPT,TX,32.683,-96.867,201,-6,32.683,-96.867,201,
722600,3,0,STEPHENVILLE CLARK FIELD,TX,32.217,-98.183,399,-6,32.217,-98.183,399,
722610,2,1,DEL RIO [UT],TX,29.38,-100.91,308,-6,29.367,-100.9,302,
722615,2,0,DEL RIO LAUGHLIN AFB,TX,29.367,-100.783,327,-6,29.367,-100.783,327,
722618,3,0,FORT STOCKTON PECOS,TX,30.917,-102.9,941,-6,30.917,-102.9,941,
722620,3,0,PINE SPRINGS GUADALUPE MOUNTA,TX,31.833,-104.817,1663,-7,31.833,-104.817,1663,
722630,1,0,SAN ANGELO MATHIS FIELD,TX,31.35,-100.5,584,-6,31.35,-100.5,584,
722636,2,0,DALHART MUNICIPAL AP,TX,36.017,-102.55,1216,-6,36.017,-102.55,1216,
722640,3,0,MARFA AP,TX,30.367,-104.017,1473,-6,30.367,-104.017,1473,
722648,3,0,ODESSA-SCHLEMEYER F,TX,31.917,-102.383,902,-6,31.917,-102.383,902,
722650,1,0,MIDLAND INTERNATIONAL AP,TX,31.95,-102.183,872,-6,31.95,-102.183,872,
722656,2,0,WINK WINKLER COUNTY AP,TX,31.783,-103.2,856,-6,31.783,-103.2,856,
722660,1,1,ABILENE REGIONAL AP [UT],TX,32.47,-99.71,530,-6,32.417,-99.683,546,
722666,3,0,BROWNWOOD MUNICIPAL,TX,31.8,-98.95,422,-6,31.8,-98.95,422,
722670,1,0,LUBBOCK INTERNATIONAL AP,TX,33.667,-101.817,992,-6,33.667,-101.817,992,
722673,3,0,SHERMAN-DENISON,TX,33.717,-96.667,228,-6,33.717,-96.667,228,
722675,3,0,REESE AFB,TX,33.6,-102.05,1014,-6,33.6,-102.05,1014,
722700,1,1,EL PASO INTERNATIONAL AP [UT],TX,31.77,-106.5,1186,-7,31.817,-106.383,1194,
723510,2,0,WICHITA FALLS MUNICIPAL ARPT,TX,33.983,-98.5,314,-6,33.983,-98.5,314,
723604,2,0,CHILDRESS MUNICIPAL AP,TX,34.433,-100.283,595,-6,34.433,-100.283,595,
723630,2,1,AMARILLO INTERNATIONAL AP [CANYON - UT],TX,34.99,-101.9,1068,-6,35.217,-101.7,1093,
723635,3,0,BORGER/HUTCHINSON,TX,35.7,-101.4,931,-6,35.7,-101.4,931,
747400,3,0,JUNCTION KIMBLE COUNTY AP,TX,30.517,-99.767,533,-6,30.517,-99.767,533,
