Site Number,Latitude,Longitude,Gage Height (m),Discharge (m^3/s)
07227420,35.75125,-102.8931667,4816,4825
07227448,35.667543,-102.480479,30288,2191
07227460,35.6750972,-102.2807222,3754,12
07227470,35.51893636,-102.2601957,11686,3306
07227500,35.4703261,-101.879628,7814,7706
07227890,35.72077778,-101.6625278,6394,4024
07227900,35.7105973,-101.5512813,7871,7416
07227920,35.6647649,-101.3509971,6533,5692
07228000,35.935042,-100.3706884,7744,30278
07233500,36.20225497,-101.305993,7029,20360
07233550,36.36144167,-101.1640167,5867,729
07235000,36.23864885,-100.2756889,464,22423
07295500,34.84867146,-102.1760295,606,14282
07296100,34.92422518,-102.0996401,972,2374
07297500,35.01061119,-101.891857,20347,5159
07297910,34.83755505,-101.4140578,4331,19464
07298000,34.55950499,-101.7096254,8594,12415
07298100,34.5453396,-101.4382238,8586,729
07298200,34.5433952,-101.42989,9052,8095
07298500,34.62783574,-100.9406994,4939,10246
07299000,34.67505649,-100.9170876,2536,669
07299200,34.57311318,-100.7456898,424,6331
07299300,34.54089189,-100.7706906,17106,4808
07299500,34.5722802,-100.4365099,18885,3378
07299512,34.57228125,-100.3337294,22436,3058
07299514,34.5592259,-100.3395628,22225,868
07299530,34.59061508,-100.2526163,1095,1818
07299540,34.56922728,-100.1940023,9517,1000
07299570,34.4131291,-99.7345385,22365,8345
07299670,34.35451979,-99.7403719,16137,21613
07299840,35.00060555,-100.8948666,8846,5120
07299850,35.00282777,-100.8920888,22404,1582
07299890,34.93560669,-100.6965246,8653,2449
07300000,34.95755294,-100.220949,2313,25077
07301200,35.3292151,-100.609301,4286,4749
07301300,35.2642163,-100.2417855,22277,8080
07301410,35.47310419,-100.1209501,4285,9883
07307500,34.24006966,-101.1179285,6256,5112
07307600,34.27506807,-100.2851145,30280,2346
07307750,34.2086816,-100.3012257,4108,2343
07307760,34.19118279,-100.210945,18628,1101
07307800,34.2275718,-100.0737179,7343,1012
07308000,34.09591516,-99.7300939,8752,7850
07308200,34.1795833,-99.3233333,7285,292
07308500,34.11009327,-98.5317234,8773,5155
07311622,33.87008366,-99.9470437,8564,2191
07311648,33.85341716,-99.9625995,2240,2191
07311669,33.79786426,-99.8367613,2141,67
07311700,33.82064216,-99.7864822,6964,4565
07311780,33.6248079,-100.2181622,7419,2196
07311782,33.62203029,-100.2089951,3963,9060
07311783,33.62203029,-100.2089951,7647,9501
07311790,33.6550874,-100.0139878,4854,3286
07311800,33.644257,-99.8009252,4267,5237
07311900,33.70036966,-99.3886905,7321,5725
07312000,33.7584266,-99.151183,5608,760
07312100,33.7600934,-99.1428495,9933,6025
07312109,33.8150958,-98.9336775,1017,4560
07312110,33.81398475,-98.932844,10,18015
07312130,33.86926267,-98.839231,9448,1760
07312180,33.9750919,-99.023682,7259,730
07312200,33.90592785,-98.9050666,11797,2210
07312330,33.89694444,-98.7072222,7065,50
07312380,33.98676138,-98.7520075,10208,729
07312500,33.90954178,-98.5336663,3847,6893
07312610,33.88444444,-98.4988889,4432,4307
07312700,34.0531504,-98.2967139,7930,5955
07314000,33.66315644,-98.7789503,11883,728
07314500,33.66260225,-98.6131124,3781,23653
07314800,33.76426758,-98.3717167,3769,730
07314900,33.8267666,-98.2400458,7903,24890
07315200,33.81287833,-98.0850406,2227,20904
07315400,33.8987099,-98.0683729,7409,2405
07315510,33.85540278,-97.9438472,7416,18
07315525,33.8069833,-97.8863139,7382,58
07315600,33.88260056,-97.6528046,5851,729
07315950,33.77399325,-97.2141813,11615,3287
07316200,33.70232817,-96.8477793,8361,3319
07331600,33.81899124,-96.5633264,12065,32661
07331700,33.8017695,-96.5802712,10,730
07332600,33.47566345,-96.2147,12008,8339
07332605,33.57579444,-96.1557444,12,706
07332610,33.64538155,-96.1641451,12,1096
07332620,33.6822222,-95.9844444,8939,3527
07332622,33.74416667,-95.9611111,10,3683
07332655,33.7587361,-95.9159472,11050,121
07335390,33.8528821,-95.5446813,4973,209
07335400,33.8526043,-95.5446813,11,6939
07335600,33.7284379,-95.5669027,10,730
07336750,33.84066298,-95.2655082,10,4316
07336800,33.68538644,-94.9949441,9482,5770
07336820,33.68400005,-94.6943774,9556,559
07342465,33.21177979,-95.9141328,7604,10227
07342470,33.21930278,-95.8621944,9184,4382
07342473,33.25,-95.7911111,9222,10
07342480,33.26650079,-95.9155217,8100,10741
07342495,33.33344378,-95.6252348,9078,730
07342500,33.356499,-95.5949562,8472,28744
07343000,33.47483009,-95.5877347,7710,26008
07343200,33.3862233,-95.1324428,9189,23445
07343300,33.54760929,-95.1730018,8958,4017
07343356,33.49888889,-95.0513889,10,3854
07343450,33.30944444,-94.6980556,8826,4478
07343460,33.16789165,-95.6419015,12,1251
07343500,33.32233617,-95.0927184,10578,25989
07343840,33.2747222,-94.8025,7365,3812
07344000,33.2501213,-94.6168704,18,11780
07344100,33.38444444,-94.4980556,7504,3688
07344200,33.30457094,-94.1607453,8890,1057
07344210,33.30416667,-94.1513889,8077,185
07344482,33.0234537,-95.2702213,8630,6409
07344484,33.0661111,-95.1588889,11,731
07344486,32.9756785,-95.1843857,14,9049
07344488,33.08888889,-95.0397222,35194,730
07344489,33.08012134,-95.0021587,457,3598
07344493,33.07293056,-94.9652278,1818,5935
07344500,33.02095787,-94.8821554,7396,18979
07345000,33.0362364,-94.7877084,7922,12607
07345900,32.7551388,-94.4993658,8050,1764
07346000,32.74958345,-94.4988102,7854,26211
07346020,32.9386111,-94.4861111,508,10
07346045,32.7779173,-94.3574153,10108,19154
07346047,32.76805556,-94.9158333,8110,12
07346048,32.73916667,-94.8663889,1903,12
07346050,32.6726406,-94.7510435,7471,15884
07346055,32.62388889,-94.5769444,7094,10
07346070,32.71291998,-94.3460265,7926,27282
07346080,32.7386111,-94.2325,7660,1070
07346085,32.69638889,-94.1877778,6133,11
07346095,32.6411111,-94.1322222,7433,10
07346140,33.05402005,-94.2901904,7280,9800
08017190,33.2386111,-96.1813889,8088,10
08017200,33.1328933,-96.0769164,10469,22646
08017300,32.89790085,-96.2533118,963,22427
08017400,32.80873574,-95.9196887,12,7340
08017410,32.8062358,-95.9194109,11,18326
08017500,32.77318113,-95.7991307,7994,7730
08017600,32.7084619,-95.9019107,13,4497
08018500,32.61374667,-95.4857901,8133,26204
08018730,32.99067368,-95.6219013,11,4043
08018800,32.8134589,-95.5280112,1795,7639
08019000,32.76318386,-95.4630094,6337,29831
08019200,32.55986369,-95.206614,92,8534
08019500,32.6040291,-95.0916099,12,28998
08019900,32.5562545,-94.9574395,13,3746
08020000,32.52708909,-94.9602175,406,31175
08020200,32.4793133,-94.9541064,11968,3300
08020450,32.47987044,-94.80438,1106,6509
08020500,32.46681559,-94.7807682,5702,3014
08020700,32.38820599,-94.9032716,8527,6872
08020820,32.46194444,-94.75,12092,10
08020900,32.41681793,-94.7099324,9158,9237
08020960,32.23404588,-94.7818795,7101,1103
08020980,32.3051549,-94.7282665,5751,1104
08020990,32.3207099,-94.7327111,4290,1419
08021000,32.33348749,-94.7002098,7276,3410
08021400,32.36919444,-94.6685639,11703,1442
08021600,32.5072222,-94.5494444,3817,12
08022040,32.32737887,-94.3535302,6378,30083
08022060,32.27278774,-94.5660544,11961,730
08022070,32.2957125,-94.4915904,8016,8230
08022100,32.21444444,-94.4327778,12036,18
08022120,32.2249722,-94.22525,36672,1411
08022200,32.03460998,-94.4210349,16224,7391
08022300,32.0484985,-94.3754778,2445,9396
08022400,32.23182724,-94.0921336,11469,4231
08022500,31.97238949,-94.0063014,1170,788
08023200,31.76572914,-94.0840835,5617,10641
08024400,31.4671247,-93.7449052,2109,10134
08024500,31.38629438,-93.8357408,35020,4930
08025307,31.15657879,-93.6765667,574,1947
08025360,31.1737991,-93.5660077,574,17531
08026000,31.06408004,-93.5196165,175,23904
08028500,30.74714557,-93.608508,574,34823
08029500,30.81888889,-93.7855556,574,25114
08029760,30.42305556,-93.7838889,575,11
08030000,30.4313169,-93.9079544,2222,11510
08030050,30.345,-93.8047222,11505,14
08030500,30.30381684,-93.7437784,12146,1054
08030540,30.09798774,-93.7215544,10212,474
08031000,30.18632045,-93.9085058,7736,19351
08031200,32.3095926,-95.6055158,11879,10014
08031290,32.21055556,-95.765,4139,730
08031400,32.05349518,-95.436899,990,4145
08031500,32.02516337,-95.4280097,12125,1094
08032000,31.89239037,-95.430786,12042,24850
08032200,31.94725057,-95.2983937,10140,4075
08032500,31.57945569,-95.1659965,11762,12784
08032700,31.39670556,-94.9658,12095,55
08033000,31.13296574,-94.8099306,3496,20042
08033300,31.14046214,-95.0866021,21824,10226
08033500,31.025,-94.3994444,5997,42957
08033700,32.00294415,-94.9932737,4529,3286
08033900,31.86017169,-94.8232697,8569,11308
08034000,32.24182066,-95.176058,11663,1272
08034500,31.97655578,-95.1607787,5073,21917
08035000,31.88933688,-95.0888315,11263,1094
08036500,31.67184364,-94.9527152,5440,24185
08036700,31.58878995,-94.8254899,6332,7326
08037000,31.45740447,-94.7263206,12061,18687
08037050,31.6176793,-94.6415983,4960,11465
08037500,31.59684679,-94.2685335,3750,852
08038000,31.50434957,-94.3043677,42804,17137
08038500,31.2115792,-94.2946431,5098,4872
08039100,31.39629597,-94.1510289,9479,9723
08039300,31.06075076,-94.106025,1963,3646
08039500,31.01519664,-94.1521372,22375,11321
08040000,30.79548009,-94.1801912,6156,3315
08040600,30.79103579,-94.1510237,1504,21864
08041000,30.35576378,-94.0932373,5017,37357
08041300,30.481425,-94.3946528,4032,963
08041365,30.70944444,-94.1991667,4979,12
08041375,30.69444444,-94.1902778,12057,11
08041500,30.3979862,-94.2635215,10,31078
08041540,30.3511111,-94.2922222,2174,13
08041700,30.1060464,-94.3346324,7403,19486
08041745,30.2325,-94.2230556,9539,11
08041749,30.17882253,-94.1887943,1437,6306
08041780,30.156878,-94.1143469,7352,6286
08041820,29.9495,-93.8573,4427,92
08042490,29.94555556,-94.135,11500,12
08042520,29.88166667,-94.0516667,7635,13
08042534,29.77521665,-93.941835,30417,388
08042558,29.67555556,-94.6661139,20577,1577
08042700,33.2826125,-98.2983819,7229,8847
08042800,33.29177926,-98.0805979,6272,23709
08042820,33.24344713,-98.1200436,4290,7361
08042900,33.1998374,-97.9672615,7368,1107
08043000,33.22289269,-97.8319799,2031,7459
08043500,33.2015046,-97.756144,1980,1977
08043700,33.47427496,-97.8630911,4610,7375
08043950,33.27428117,-97.6786424,7384,3258
08044000,33.23178218,-97.6947538,11911,27536
08044135,33.10511968,-97.6550282,4235,1209
08044140,33.09845327,-97.6500279,553,804
08044500,33.08539917,-97.558636,2148,27089
08044800,32.94568035,-97.5830798,4522,9285
08045000,32.87437699,-97.4611872,7412,8520
08045400,32.78929559,-97.4164081,7335,7464
08045500,32.7909622,-97.415297,11468,3651
08045550,32.7597222,-97.4038889,13611,4358
08045800,32.77262824,-97.6747497,7223,730
08045850,32.74040699,-97.6519711,7352,7186
08045995,32.65305556,-97.5863889,9627,3852
08046000,32.6412442,-97.564468,9219,10297
08046500,32.6506888,-97.448631,8396,1705
08047000,32.66513275,-97.4419642,7919,26849
08047050,32.6951316,-97.4472422,20768,8322
08047500,32.732353,-97.3589063,9218,35430
08048000,32.76096337,-97.3325167,9280,3626
08048520,32.6654111,-97.321405,5403,2246
08048530,32.68568815,-97.329183,1088,2556
08048540,32.68846588,-97.3200161,7901,2556
08048543,32.7517972,-97.2894598,5899,675
08048600,32.776241,-97.2886266,8625,2921
08048800,32.80735146,-97.2486256,8921,7577
08048850,32.80929568,-97.2914046,9848,2921
08048970,32.60346909,-97.2650142,8520,317
08048980,32.64124563,-97.2422358,951,552
08049000,32.7001325,-97.2169575,3056,1734
08049200,32.7162431,-97.1925124,5227,5641
08049300,32.7884631,-97.1400111,3293,2116
08049500,32.7625,-96.9944444,3814,14263
08049550,32.9134593,-97.129178,7692,4688
08049553,32.8947222,-97.0822222,8445,532
08049556,32.87194444,-97.0566667,4839,536
08049562,32.84766667,-97.0754722,4046,176
08049565,32.86734948,-97.039175,7768,520
08049566,32.85333333,-97.0441667,8721,525
08049569,32.83555556,-97.0358333,856,529
0804956950,32.8044972,-97.0098806,2028,2226
08049580,32.49097237,-97.1230646,31040,7855
08049600,32.5843025,-97.0233397,6483,8765
08049700,32.5809695,-97.1019533,7820,22060
08049800,32.64346745,-97.0011172,7834,2456
08050000,32.7056878,-96.96695,8439,3195
08050050,32.73207583,-96.9433385,2901,1070
08050100,32.7498611,-96.9261111,29895,21247
08050200,33.62038525,-97.4044656,7916,303
08050300,33.61010775,-97.3827983,8125,6213
08050350,33.601,-97.3258333,7971,992
08050400,33.62427479,-97.1564016,8245,12907
08050500,33.38650347,-97.0850105,95,13003
08050800,33.55455428,-96.9472267,9031,12937
08050840,33.52622016,-96.8072191,9495,10329
08051000,33.4065031,-97.0127854,1,13029
08051100,33.35539329,-97.0500093,8052,5142
08051130,33.3503934,-97.0472314,13344,2788
08051135,33.3497222,-97.0355556,8831,4247
08051500,33.3362269,-97.1794587,7880,26269
08052000,33.2506739,-97.0452873,8871,791
08052650,33.3653912,-96.8238876,8939,3874
08052700,33.28344977,-96.8927805,8083,3605
08052745,33.2192846,-96.8919475,4463,3765
08052780,33.15178696,-97.1419573,1868,5460
08052800,33.069288,-96.9644507,7574,1823
08053000,33.0456773,-96.9611173,6949,25908
08053009,33.02694444,-96.9172222,727,5092
08053010,33.0184554,-96.9244494,2746,1081
08053030,33.00151114,-96.8863926,5458,666
08053090,32.9571611,-96.9071167,8708,2044
08053430,33.27791667,-97.4170417,10165,1771
08053500,33.11901003,-97.2905732,14,26057
08054000,33.0401228,-97.2050145,15952,7244
08054500,32.9726239,-97.0563981,6991,730
08055000,32.9870677,-97.0127857,7896,22396
08055500,32.965957,-96.94445,6278,41673
08055560,32.87333333,-96.9305556,7647,4991
08055700,32.86040457,-96.8538916,4,5848
08056000,32.842072,-96.8900038,8236,7511
08056500,32.80735055,-96.8025013,365,17172
08057000,32.7748517,-96.8219464,96,1684
08057055,32.7521361,-96.7825528,6859,5071
08057100,32.9704007,-96.8055566,5249,6634
08057200,32.88929207,-96.7566664,8056,19018
08057300,32.80873904,-96.725832,8634,8182
08057410,32.70763139,-96.7358319,8552,1433
08057445,32.70485346,-96.6699955,8807,11873
08057448,32.6176342,-96.6222148,15704,633
08057450,32.57846916,-96.756108,4794,3655
08058500,33.27844798,-96.6577703,8488,8096
08058900,33.2445597,-96.6086019,4839,12783
08059000,33.20372724,-96.595824,8864,13610
08059350,33.225,-96.3730556,3834,5039
08059400,33.29455787,-96.4835969,8597,12089
08059500,33.1931713,-96.4758193,8810,9284
08059570,33.21833333,-96.6941667,10,10
08059590,33.18485,-96.63805,8329,2206
08060000,33.0231751,-96.4758207,8424,1220
08060500,33.03178607,-96.4824876,8119,730
08061000,33.02373066,-96.4755429,4846,13801
08061480,32.95225,-96.4736389,3602,1231
08061500,32.92373399,-96.5058219,2162,10956
08061540,32.95984447,-96.6144378,8255,19339
08061548,32.9858611,-96.5564167,167,1465
08061550,32.80012714,-96.4960989,1578,3777
08061551,32.7986111,-96.4941667,6030,3135
08061700,32.83290425,-96.595548,7747,12419
08061750,32.7742947,-96.5035991,7692,17130
08061950,32.72568565,-96.5702689,2778,4016
08062000,32.6387442,-96.4852651,6671,26120
08062500,32.42652988,-96.4630415,7314,14074
08062575,32.31666667,-96.3593056,8423,1058
08062650,32.23792597,-96.1435843,1436,6208
08062700,32.14765255,-96.1024708,11878,366
08062730,32.7284624,-96.1735861,8415,685
08062800,32.50347129,-96.1127508,7017,15708
08062895,32.5561111,-96.3388889,7992,4327
08062900,32.5134711,-96.3291479,7247,9038
08062980,32.42430768,-96.1094171,6895,524
08063000,32.32931125,-96.1683078,483,9992
08063003,32.32181179,-96.0288584,1517,517
08063010,32.2432035,-96.1408064,6751,7424
08063020,32.15681904,-96.0627472,7114,2524
08063030,31.90955833,-96.8814639,7069,2024
08063040,32.05466944,-96.9065194,8591,2024
08063048,31.97805556,-96.8733333,3668,4773
08063050,31.9576568,-96.6894346,7878,730
08063100,31.9384908,-96.6813787,8352,21676
08063200,31.80043987,-96.7174899,6684,5873
08063460,31.967,-96.4751389,19854,554
08063500,31.95071375,-96.42137,7388,18354
08063562,32.16465,-96.7620056,21558,2148
08063590,32.3822222,-96.8505556,7392,4641
08063600,32.34181055,-96.8052735,1963,731
08063700,32.25014716,-96.6472123,4320,730
08063800,32.2434807,-96.6402676,1412,20868
08064100,32.1984823,-96.5202639,8583,912
08064500,32.10820817,-96.3708135,7380,16619
08064510,32.07126487,-96.4160928,8420,730
08064550,32.04043418,-96.2066402,9332,7425
08064700,31.84849638,-96.2899755,7991,18906
08064800,31.8809985,-95.8688514,7426,10014
08065000,31.64850597,-95.7894029,7431,35560
08065200,31.56989618,-95.8882938,10906,17811
08065330,31.4068455,-95.601896,7867,4081
08065350,31.33851319,-95.6563407,3211,15391
08065500,31.07462984,-95.6993922,11711,11550
08065700,30.9368559,-95.9355084,12046,4933
08065800,30.8847222,-95.7777778,7362,19476
08066000,30.85935514,-95.39883,4324,16435
08066100,31.05185075,-95.3779964,7359,6268
08066170,30.9071324,-95.0885468,5513,17435
08066175,30.88675,-95.0803889,7404,2646
08066190,30.6335308,-95.010213,11967,7825
08066191,30.63214193,-95.0199355,7375,7698
08066200,30.716306,-94.9588237,6998,21097
08066250,30.57214544,-94.9488223,11511,16500
08066300,30.48138889,-94.7797222,11398,20163
08066500,30.4252067,-94.8507622,11741,35341
08067000,30.05771539,-94.8182567,6531,10966
08067070,29.96132898,-94.8102003,7408,14560
08067071,29.95027778,-94.8433333,8417,981
08067074,29.80674444,-95.0323972,11605,3059
08067100,29.9418847,-94.774366,6673,3263
08067118,29.86744193,-94.7149197,7416,9057
